cluster_rep,size
seed4_row100782,1
seed4_row100784,1
seed4_row100785,1
seed4_row100787,1
seed4_row100788,1
seed4_row100789,1
seed4_row100791,1
seed4_row100794,1
seed4_row100795,1
seed4_row100796,1
seed4_row100797,1
seed4_row100802,1
seed4_row100803,1
seed4_row100804,1
seed4_row100805,1
seed4_row100807,1
seed4_row100808,1
seed4_row100815,1
seed4_row100818,1
seed4_row100821,1
seed4_row100823,1
seed4_row100825,1
seed4_row100826,1
seed4_row100831,1
seed4_row100834,1
seed4_row100836,1
seed4_row100837,1
seed4_row100838,1
seed4_row100839,1
seed4_row100842,1
seed4_row100847,1
seed4_row100849,1
seed4_row100851,1
seed4_row100852,1
seed4_row100853,1
seed4_row100854,1
seed4_row100856,1
seed4_row100857,1
seed4_row100859,1
seed4_row100862,1
seed4_row100866,1
seed4_row100868,1
seed4_row100870,1
seed4_row100871,2
seed4_row100873,1
seed4_row100876,1
seed4_row100880,1
seed4_row100881,1
seed4_row100886,1
seed4_row100887,1
seed4_row100888,1
seed4_row100890,1
seed4_row100891,1
seed4_row100893,1
seed4_row100896,1
seed4_row100898,6
seed4_row100900,1
seed4_row100901,1
seed4_row100904,1
seed4_row100906,1
seed4_row100908,1
seed4_row100911,1
seed4_row100913,1
seed4_row100916,1
seed4_row100920,1
seed4_row100921,1
seed4_row100924,1
seed4_row100926,1
seed4_row100927,1
seed4_row100928,1
seed4_row100929,2
seed4_row100930,1
seed4_row100931,1
seed4_row100933,1
seed4_row100934,1
seed4_row100936,1
seed4_row100938,4
seed4_row100939,1
seed4_row100942,1
seed4_row100943,1
seed4_row100947,1
seed4_row100948,1
seed4_row100949,1
seed4_row100955,1
seed4_row100957,1
seed4_row100969,1
seed4_row100972,1
seed4_row100977,1
seed4_row100978,1
seed4_row100981,1
seed4_row100985,1
seed4_row100986,1
seed4_row100987,1
seed4_row100988,1
seed4_row100989,1
seed4_row100992,1
seed4_row100994,1
seed4_row100995,1
seed4_row100997,1
seed4_row100998,1
seed4_row100999,1
seed4_row101001,1
seed4_row101002,1
seed4_row101003,1
seed4_row101005,1
seed4_row101007,1
seed4_row101008,1
seed4_row101016,1
seed4_row101017,1
seed4_row101018,1
seed4_row101019,1
seed4_row101022,1
seed4_row101024,1
seed4_row101026,1
seed4_row101028,1
seed4_row101031,1
seed4_row101032,1
seed4_row101034,1
seed4_row101042,1
seed4_row101047,1
seed4_row101049,1
seed4_row101055,1
seed4_row101056,1
seed4_row101057,1
seed4_row101058,1
seed4_row101061,1
seed4_row101062,1
seed4_row101063,1
seed4_row101065,1
seed4_row101066,1
seed4_row101067,1
seed4_row101072,1
seed4_row101073,1
seed4_row101074,1
seed4_row101082,1
seed4_row101087,1
seed4_row101092,1
seed4_row101093,1
seed4_row101094,1
seed4_row101095,1
seed4_row101099,1
seed4_row101101,1
seed4_row101102,1
seed4_row101103,1
seed4_row101105,1
seed4_row101108,1
seed4_row101109,1
seed4_row101111,1
seed4_row101112,1
seed4_row101113,1
seed4_row101115,1
seed4_row101116,1
seed4_row101117,1
seed4_row101119,1
seed4_row101121,1
seed4_row101122,1
seed4_row101126,1
seed4_row101129,1
seed4_row101130,1
seed4_row101132,1
seed4_row101133,1
seed4_row101134,1
seed4_row101140,1
seed4_row101141,1
seed4_row101143,1
seed4_row101145,3
seed4_row101147,1
seed4_row101149,1
seed4_row101151,1
seed4_row101152,1
seed4_row101156,1
seed4_row101159,1
seed4_row101160,1
seed4_row101164,2
seed4_row101169,1
seed4_row101171,1
seed4_row101173,1
seed4_row101178,1
seed4_row101181,1
seed4_row101185,1
seed4_row101192,1
seed4_row101193,1
seed4_row101196,1
seed4_row101197,1
seed4_row101198,1
seed4_row101200,1
seed4_row101201,1
seed4_row101202,1
seed4_row101204,1
seed4_row101205,1
seed4_row101207,1
seed4_row101211,1
seed4_row101213,1
seed4_row101214,1
seed4_row101215,1
seed4_row101216,1
seed4_row101218,1
seed4_row101219,1
seed4_row101222,1
seed4_row101223,1
seed4_row101224,1
seed4_row101225,1
seed4_row101228,1
seed4_row101230,1
seed4_row101231,1
seed4_row101233,1
seed4_row101234,1
seed4_row101235,1
seed4_row101237,1
seed4_row101239,1
seed4_row101247,1
seed4_row101253,1
seed4_row101255,1
seed4_row101257,1
seed4_row101259,1
seed4_row101261,1
seed4_row101263,1
seed4_row101269,1
seed4_row101270,1
seed4_row101279,1
seed4_row101280,1
seed4_row101287,1
seed4_row101289,1
seed4_row101290,1
seed4_row101298,1
seed4_row101301,2
seed4_row101302,1
seed4_row101303,1
seed4_row101304,1
seed4_row101305,1
seed4_row101307,1
seed4_row101310,1
seed4_row101311,1
seed4_row101312,1
seed4_row101315,1
seed4_row101316,1
seed4_row101317,1
seed4_row101321,5
seed4_row101323,1
seed4_row101324,1
seed4_row101325,1
seed4_row101326,2
seed4_row101328,1
seed4_row101330,1
seed4_row101333,2
seed4_row101339,1
seed4_row101340,1
seed4_row101346,1
seed4_row101348,1
seed4_row101353,1
seed4_row101357,1
seed4_row101358,1
seed4_row101359,1
seed4_row101360,1
seed4_row101361,1
seed4_row101362,1
seed4_row101364,1
seed4_row101365,1
seed4_row101367,1
seed4_row101368,1
seed4_row101370,1
seed4_row101372,1
seed4_row101373,1
seed4_row101378,1
seed4_row101380,1
seed4_row101385,1
seed4_row101388,3
seed4_row101389,1
seed4_row101394,1
seed4_row101395,1
seed4_row101400,1
seed4_row101401,1
seed4_row101402,1
seed4_row101403,1
seed4_row101405,1
seed4_row101406,1
seed4_row101407,1
seed4_row101412,1
seed4_row101413,1
seed4_row101415,1
seed4_row101416,1
seed4_row101418,1
seed4_row101419,1
seed4_row101421,1
seed4_row101424,1
seed4_row101430,1
seed4_row101434,1
seed4_row101435,1
seed4_row101438,1
seed4_row101439,1
seed4_row101440,1
seed4_row101442,1
seed4_row101443,1
seed4_row101444,1
seed4_row101445,1
seed4_row101452,1
seed4_row101454,1
seed4_row101466,1
seed4_row101467,1
seed4_row101468,1
seed4_row101470,1
seed4_row101475,1
seed4_row101476,1
seed4_row101478,1
seed4_row101480,1
seed4_row101482,1
seed4_row101484,3
seed4_row101486,1
seed4_row101489,1
seed4_row101492,2
seed4_row101495,1
seed4_row101500,1
seed4_row101504,1
seed4_row101509,1
seed4_row101510,1
seed4_row101511,1
seed4_row101512,1
seed4_row101515,1
seed4_row101516,1
seed4_row101517,1
seed4_row101518,1
seed4_row101521,1
seed4_row101522,1
seed4_row101523,1
seed4_row101524,1
seed4_row101525,1
seed4_row101526,1
seed4_row101529,1
seed4_row101530,4
seed4_row101532,2
seed4_row101534,1
seed4_row101536,1
seed4_row101537,1
seed4_row101538,1
seed4_row101539,1
seed4_row101542,1
seed4_row101546,1
seed4_row101547,1
seed4_row101548,1
seed4_row101550,1
seed4_row101551,1
seed4_row101553,1
seed4_row101554,1
seed4_row101557,1
seed4_row101559,1
seed4_row101562,1
seed4_row101564,1
seed4_row101566,1
seed4_row101569,1
seed4_row101570,1
seed4_row101571,1
seed4_row101573,1
seed4_row101574,1
seed4_row101575,1
seed4_row101576,1
seed4_row101578,1
seed4_row101579,1
seed4_row101580,1
seed4_row101584,1
seed4_row101587,1
seed4_row101588,1
seed4_row101590,1
seed4_row101591,1
seed4_row101594,1
seed4_row101595,1
seed4_row101596,1
seed4_row101598,1
seed4_row101600,1
seed4_row101603,1
seed4_row101604,1
seed4_row101609,1
seed4_row101611,1
seed4_row101613,2
seed4_row101622,1
seed4_row101623,1
seed4_row101624,1
seed4_row101628,1
seed4_row101630,1
seed4_row101633,1
seed4_row101634,1
seed4_row101637,1
seed4_row101642,1
seed4_row101643,2
seed4_row101646,1
seed4_row101651,1
seed4_row101652,3
seed4_row101656,1
seed4_row101665,1
seed4_row101666,1
seed4_row101667,1
seed4_row101672,1
seed4_row101673,1
seed4_row101675,1
seed4_row101677,1
seed4_row101681,1
seed4_row101682,1
seed4_row101684,1
seed4_row101685,1
seed4_row101689,1
seed4_row101690,1
seed4_row101691,1
seed4_row101692,1
seed4_row101693,1
seed4_row101694,1
seed4_row101695,1
seed4_row101696,1
seed4_row101703,1
seed4_row101704,1
seed4_row101707,1
seed4_row101711,3
seed4_row101716,1
seed4_row101717,1
seed4_row101718,1
seed4_row101719,1
seed4_row101721,1
seed4_row101722,1
seed4_row101725,1
seed4_row101727,1
seed4_row101735,1
seed4_row101738,1
seed4_row101740,1
seed4_row101742,1
seed4_row101745,1
seed4_row101747,1
seed4_row101749,1
seed4_row101752,1
seed4_row101754,1
